family,sigma,stride,class,seed,split,n_frames,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,efficiency_valid_flag_calibrated,angle_valid_fraction_calibrated,n_angles,n_angles_valid,e95
B,0.0,16,return,1009,test,9,1.0039812273885655,0.0,0.0,1.0039812273885655,1.2327199199799141,3.1265540796460796,0.0,13.193250018794947,24.204096077365676,-0.07785756634965976,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,return,1010,test,9,1.1237164089336855,0.0,0.0,1.1237164089336855,1.2705415496244299,3.2376657788099,0.0,14.007911964413864,24.597487069083613,0.017933444258550608,0.7142857142857143,1.0,1.0,0.7142857142857143,7,5,0.0
B,0.0,16,return,1011,test,9,1.1203245608617047,0.0,0.0,1.1203245608617047,1.179602448329669,2.837703847127343,0.0,8.72944235008165,22.701630777018742,0.17225504346063603,0.42857142857142855,1.0,1.0,0.42857142857142855,7,3,0.0
B,0.0,16,return,1012,test,9,1.1841104733046384,0.0,0.0,1.1841104733046384,1.336289279460751,3.4750016852328285,0.0,14.504422595266645,25.913548129819755,0.08327141880707982,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,return,1013,test,9,1.090408359973341,0.0,0.0,1.090408359973341,1.173078247420621,2.9173652068962115,0.0,10.333966939293052,22.530923007558613,0.0613119373215538,0.7142857142857143,1.0,1.0,0.7142857142857143,7,5,0.0
B,0.0,16,return,1014,test,9,1.0704855246029061,0.0,0.0,1.0704855246029061,1.3826324450363467,3.4859987862263226,0.0,14.738228834846748,26.589777829626247,-0.07922165520990271,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1000,train,9,0.6907895830142021,0.451204101137028,0.6531715477935219,0.6907895830142021,0.9039782142258663,2.3053852697597366,-9.516197353929913e-17,5.269452045165112,15.731214283479435,-0.379637743200521,0.7142857142857143,1.0,1.0,0.7142857142857143,7,5,0.0
B,0.0,16,ramp,1001,train,9,0.6864416727383471,0.43590715864741786,0.6350243232006892,0.6864416727383471,0.8851715526822088,2.4723807589554823,0.0,5.651156020469673,13.8016158201394,-0.5024174825783418,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1002,train,9,0.7154855468211339,0.4582361328511227,0.6404547721292801,0.7154855468211339,0.9595209707145139,2.894920840465163,0.0,6.616961921063231,14.020380588446912,-0.3167633164018416,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1003,train,9,0.6659527651037513,0.4524433990000764,0.6793926276882243,0.6659527651037513,0.8531626432948001,2.155138017410394,0.0,4.926029754080901,14.078965963752704,-0.47284408768812936,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
