family,sigma,role,seed,n_frames,degree,L,R,eta,angle_valid_fraction,adjacent_mean,adjacent_p95,adjacent_max,n_above_e95,spearman_rho,spearman_p,runs_z,runs_p,cluster_p,max_run,h1_card_mean
B,0.0,evaluation,1011,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1012,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1013,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1014,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1015,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1016,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1017,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1018,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1019,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.05,calibration,1000,129,0,4.266612823721828,0.07956109029601202,0.01864736585744608,1.0,0.03333291268532678,0.0535579452228914,0.07956109029601202,,,,,,,,169.31007751937983
B,0.05,calibration,1001,129,0,3.9319989354903773,0.033689466821264835,0.008568025417601816,1.0,0.030718741683518572,0.053026029350759195,0.07691599032970961,,,,,,,,172.34108527131784
B,0.05,calibration,1002,129,0,4.357141050641653,0.020020478250019125,0.004594865765722873,1.0,0.034040164458137914,0.06265917334805043,0.06859072789759854,,,,,,,,168.88372093023256
B,0.05,calibration,1003,129,0,4.152444473747732,0.04326406746381123,0.010418939431299328,1.0,0.032440972451154154,0.05591498752489058,0.08251715296452722,,,,,,,,171.2325581395349
B,0.05,calibration,1004,129,0,3.7214691048080972,0.023217852628925246,0.006238894365380606,1.0,0.02907397738131326,0.04280213100986849,0.07943320111533375,,,,,,,,170.28682170542635
B,0.05,evaluation,1005,129,0,4.280199157832474,0.022889090348244195,0.005347669466818784,1.0,0.0334390559205662,0.0607139132746291,0.09342212836172524,10,-0.13508896919395041,0.12842495136247897,-3.4174959098951105,0.0006320004370562783,0.5402298850574713,2,168.6124031007752
B,0.05,evaluation,1006,129,0,3.8137831128753508,0.0403846413454165,0.010589128996108286,1.0,0.029795180569338678,0.04504984704427862,0.07480688007849007,2,-0.10991878479053661,0.21677983546217913,0.2071012197727014,0.8359308095085454,1.0,1,171.93023255813952
