run_id,family,config,z_value,seed,sigma,interval,u_mid,distance,above_e_static_05,above_e_loo
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,114,0.89453125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,115,0.90234375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,116,0.91015625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,117,0.91796875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,118,0.92578125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,119,0.93359375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,120,0.94140625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,121,0.94921875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,122,0.95703125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,123,0.96484375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,124,0.97265625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,125,0.98046875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,126,0.98828125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,127,0.99609375,0,,
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,0,0.00390625,0.0428212961996054,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,1,0.01171875,0.0375937281704239,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,2,0.01953125,0.0412201799992563,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,3,0.02734375,0.0476072105404983,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,4,0.03515625,0.0384757205698363,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,5,0.04296875,0.0204699996929441,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,6,0.05078125,0.0371014420019378,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,7,0.05859375,0.0386397871360337,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,8,0.06640625,0.029949267710058,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,9,0.07421875,0.0351550947416973,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,10,0.08203125,0.0334357226778482,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,11,0.08984375,0.0440689063747153,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,12,0.09765625,0.0286680399055182,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,13,0.10546875,0.0419015645142744,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,14,0.11328125,0.0829911316526556,true,true
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,15,0.12109375,0.058854292992131,true,true
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,16,0.12890625,0.0248362706180811,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,17,0.13671875,0.0466116251170825,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,18,0.14453125,0.0498448696046801,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,19,0.15234375,0.0497666749497509,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,20,0.16015625,0.0406665460224893,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,21,0.16796875,0.0434975689085333,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,22,0.17578125,0.0355703672106149,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,23,0.18359375,0.0284394806082801,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,24,0.19140625,0.0232378538989975,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,25,0.19921875,0.0234979424641036,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,26,0.20703125,0.0369973187812521,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,27,0.21484375,0.0421724817257623,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,28,0.22265625,0.0269292122262013,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,29,0.23046875,0.0297854831750824,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,30,0.23828125,0.0635951832013241,true,true
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,31,0.24609375,0.0351323764365342,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,32,0.25390625,0.0445707797873551,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,33,0.26171875,0.0250938943207576,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,34,0.26953125,0.0655498527038739,true,true
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,35,0.27734375,0.0533573257850353,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,36,0.28515625,0.0304022720757881,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,37,0.29296875,0.0342932130214729,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,38,0.30078125,0.0338051082163019,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,39,0.30859375,0.0334534063319116,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,40,0.31640625,0.0229253998962288,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,41,0.32421875,0.0269812180091583,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,42,0.33203125,0.0276334656278786,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,43,0.33984375,0.0494955944733391,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,44,0.34765625,0.0458995724608481,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,45,0.35546875,0.0387628593332882,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,46,0.36328125,0.0272488856246721,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,47,0.37109375,0.0406799676644711,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,48,0.37890625,0.0561975534901332,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,49,0.38671875,0.0450559597343265,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,50,0.39453125,0.0560232298991584,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,51,0.40234375,0.0230164747608472,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,52,0.41015625,0.0599936433006525,true,true
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,53,0.41796875,0.0475560539592169,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,54,0.42578125,0.0441699140324194,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,55,0.43359375,0.0615828005817846,true,true
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,56,0.44140625,0.0369387072171651,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,57,0.44921875,0.0405884650100871,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,58,0.45703125,0.0369788295564592,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,59,0.46484375,0.0441788635262849,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,60,0.47265625,0.0422566553882711,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,61,0.48046875,0.0416218956501268,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,62,0.48828125,0.0338767956077865,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,63,0.49609375,0.0504251673373475,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,64,0.50390625,0.0303604671482874,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,65,0.51171875,0.0435949498758902,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,66,0.51953125,0.025183005621151,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,67,0.52734375,0.0274758535648429,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,68,0.53515625,0.0354904263062952,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,69,0.54296875,0.0372856531407377,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,70,0.55078125,0.0241557414152256,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,71,0.55859375,0.0261014588422442,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,72,0.56640625,0.0340836222440624,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,73,0.57421875,0.0395366333162718,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,74,0.58203125,0.0259641724702035,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,75,0.58984375,0.0331014365064637,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,76,0.59765625,0.0512242804302972,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,77,0.60546875,0.042749277208149,false,false
