run_id,comparison,family,seed,sigma,degree,frame,u,distance,tolerance
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,77,0.6015625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,78,0.609375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,79,0.6171875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,80,0.625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,81,0.6328125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,82,0.640625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,83,0.6484375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,84,0.65625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,85,0.6640625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,86,0.671875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,87,0.6796875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,88,0.6875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,89,0.6953125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,90,0.703125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,91,0.7109375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,92,0.71875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,93,0.7265625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,94,0.734375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,95,0.7421875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,96,0.75,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,97,0.7578125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,98,0.765625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,99,0.7734375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,100,0.78125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,101,0.7890625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,102,0.796875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,103,0.8046875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,104,0.8125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,105,0.8203125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,106,0.828125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,107,0.8359375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,108,0.84375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,109,0.8515625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,110,0.859375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,111,0.8671875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,112,0.875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,113,0.8828125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,114,0.890625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,115,0.8984375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,116,0.90625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,117,0.9140625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,118,0.921875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,119,0.9296875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,120,0.9375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,121,0.9453125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,122,0.953125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,123,0.9609375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,124,0.96875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,125,0.9765625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,126,0.984375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,127,0.9921875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,128,1,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,0,0,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,1,0.0078125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,2,0.015625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,3,0.0234375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,4,0.03125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,5,0.0390625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,6,0.046875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,7,0.0546875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,8,0.0625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,9,0.0703125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,10,0.078125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,11,0.0859375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,12,0.09375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,13,0.1015625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,14,0.109375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,15,0.1171875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,16,0.125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,17,0.1328125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,18,0.140625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,19,0.1484375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,20,0.15625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,21,0.1640625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,22,0.171875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,23,0.1796875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,24,0.1875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,25,0.1953125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,26,0.203125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,27,0.2109375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,28,0.21875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,29,0.2265625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,30,0.234375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,31,0.2421875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,32,0.25,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,33,0.2578125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,34,0.265625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,35,0.2734375,0,1.53633563851169e-07
