run_id,family,seed,sigma,degree,interval,u_mid,distance
A_static_11_sigma0_stride1,A,11,0,1,97,0.76171875,0
A_static_11_sigma0_stride1,A,11,0,1,98,0.76953125,0
A_static_11_sigma0_stride1,A,11,0,1,99,0.77734375,0
A_static_11_sigma0_stride1,A,11,0,1,100,0.78515625,0
A_static_11_sigma0_stride1,A,11,0,1,101,0.79296875,0
A_static_11_sigma0_stride1,A,11,0,1,102,0.80078125,0
A_static_11_sigma0_stride1,A,11,0,1,103,0.80859375,0
A_static_11_sigma0_stride1,A,11,0,1,104,0.81640625,0
A_static_11_sigma0_stride1,A,11,0,1,105,0.82421875,0
A_static_11_sigma0_stride1,A,11,0,1,106,0.83203125,0
A_static_11_sigma0_stride1,A,11,0,1,107,0.83984375,0
A_static_11_sigma0_stride1,A,11,0,1,108,0.84765625,0
A_static_11_sigma0_stride1,A,11,0,1,109,0.85546875,0
A_static_11_sigma0_stride1,A,11,0,1,110,0.86328125,0
A_static_11_sigma0_stride1,A,11,0,1,111,0.87109375,0
A_static_11_sigma0_stride1,A,11,0,1,112,0.87890625,0
A_static_11_sigma0_stride1,A,11,0,1,113,0.88671875,0
A_static_11_sigma0_stride1,A,11,0,1,114,0.89453125,0
A_static_11_sigma0_stride1,A,11,0,1,115,0.90234375,0
A_static_11_sigma0_stride1,A,11,0,1,116,0.91015625,0
A_static_11_sigma0_stride1,A,11,0,1,117,0.91796875,0
A_static_11_sigma0_stride1,A,11,0,1,118,0.92578125,0
A_static_11_sigma0_stride1,A,11,0,1,119,0.93359375,0
A_static_11_sigma0_stride1,A,11,0,1,120,0.94140625,0
A_static_11_sigma0_stride1,A,11,0,1,121,0.94921875,0
A_static_11_sigma0_stride1,A,11,0,1,122,0.95703125,0
A_static_11_sigma0_stride1,A,11,0,1,123,0.96484375,0
A_static_11_sigma0_stride1,A,11,0,1,124,0.97265625,0
A_static_11_sigma0_stride1,A,11,0,1,125,0.98046875,0
A_static_11_sigma0_stride1,A,11,0,1,126,0.98828125,0
A_static_11_sigma0_stride1,A,11,0,1,127,0.99609375,0
A_static_11_sigma50_stride1,A,11,0.05,0,0,0.00390625,0.0483157161965315
A_static_11_sigma50_stride1,A,11,0.05,0,1,0.01171875,0.0386687411096094
A_static_11_sigma50_stride1,A,11,0.05,0,2,0.01953125,0.0448709044301792
A_static_11_sigma50_stride1,A,11,0.05,0,3,0.02734375,0.0514329842737087
A_static_11_sigma50_stride1,A,11,0.05,0,4,0.03515625,0.0269596949288738
A_static_11_sigma50_stride1,A,11,0.05,0,5,0.04296875,0.0221982625477394
A_static_11_sigma50_stride1,A,11,0.05,0,6,0.05078125,0.0194894842286328
A_static_11_sigma50_stride1,A,11,0.05,0,7,0.05859375,0.0270995974963901
A_static_11_sigma50_stride1,A,11,0.05,0,8,0.06640625,0.0392374652768601
A_static_11_sigma50_stride1,A,11,0.05,0,9,0.07421875,0.0264207109425614
A_static_11_sigma50_stride1,A,11,0.05,0,10,0.08203125,0.0343094395779676
A_static_11_sigma50_stride1,A,11,0.05,0,11,0.08984375,0.0246155762290976
A_static_11_sigma50_stride1,A,11,0.05,0,12,0.09765625,0.0445696860873867
A_static_11_sigma50_stride1,A,11,0.05,0,13,0.10546875,0.0422533770081293
A_static_11_sigma50_stride1,A,11,0.05,0,14,0.11328125,0.0496955056604276
A_static_11_sigma50_stride1,A,11,0.05,0,15,0.12109375,0.0594537270655665
A_static_11_sigma50_stride1,A,11,0.05,0,16,0.12890625,0.0190450064255991
A_static_11_sigma50_stride1,A,11,0.05,0,17,0.13671875,0.0441620150976819
A_static_11_sigma50_stride1,A,11,0.05,0,18,0.14453125,0.0335634132087773
A_static_11_sigma50_stride1,A,11,0.05,0,19,0.15234375,0.0369523024719644
A_static_11_sigma50_stride1,A,11,0.05,0,20,0.16015625,0.0227157099759865
A_static_11_sigma50_stride1,A,11,0.05,0,21,0.16796875,0.0397342221333672
A_static_11_sigma50_stride1,A,11,0.05,0,22,0.17578125,0.0286967872993935
A_static_11_sigma50_stride1,A,11,0.05,0,23,0.18359375,0.045834095226938
A_static_11_sigma50_stride1,A,11,0.05,0,24,0.19140625,0.0342860756650425
A_static_11_sigma50_stride1,A,11,0.05,0,25,0.19921875,0.0327611070051273
A_static_11_sigma50_stride1,A,11,0.05,0,26,0.20703125,0.0264324403625121
A_static_11_sigma50_stride1,A,11,0.05,0,27,0.21484375,0.0327116209262468
A_static_11_sigma50_stride1,A,11,0.05,0,28,0.22265625,0.0214845489027523
A_static_11_sigma50_stride1,A,11,0.05,0,29,0.23046875,0.0399923028068191
A_static_11_sigma50_stride1,A,11,0.05,0,30,0.23828125,0.0344923845306114
A_static_11_sigma50_stride1,A,11,0.05,0,31,0.24609375,0.0387449883186384
A_static_11_sigma50_stride1,A,11,0.05,0,32,0.25390625,0.0406803766979263
A_static_11_sigma50_stride1,A,11,0.05,0,33,0.26171875,0.0351833388338309
A_static_11_sigma50_stride1,A,11,0.05,0,34,0.26953125,0.0294421482091155
A_static_11_sigma50_stride1,A,11,0.05,0,35,0.27734375,0.0373646826586899
A_static_11_sigma50_stride1,A,11,0.05,0,36,0.28515625,0.0299936284446304
A_static_11_sigma50_stride1,A,11,0.05,0,37,0.29296875,0.0432356745621888
A_static_11_sigma50_stride1,A,11,0.05,0,38,0.30078125,0.042073605303727
A_static_11_sigma50_stride1,A,11,0.05,0,39,0.30859375,0.0270810000300484
A_static_11_sigma50_stride1,A,11,0.05,0,40,0.31640625,0.0339432922375583
A_static_11_sigma50_stride1,A,11,0.05,0,41,0.32421875,0.0374094045141462
A_static_11_sigma50_stride1,A,11,0.05,0,42,0.33203125,0.0400661679836013
A_static_11_sigma50_stride1,A,11,0.05,0,43,0.33984375,0.0274229115264272
A_static_11_sigma50_stride1,A,11,0.05,0,44,0.34765625,0.0589894982767197
A_static_11_sigma50_stride1,A,11,0.05,0,45,0.35546875,0.0336107023708608
A_static_11_sigma50_stride1,A,11,0.05,0,46,0.36328125,0.036804269075182
A_static_11_sigma50_stride1,A,11,0.05,0,47,0.37109375,0.0243165308957614
A_static_11_sigma50_stride1,A,11,0.05,0,48,0.37890625,0.0273459548887612
A_static_11_sigma50_stride1,A,11,0.05,0,49,0.38671875,0.0278463421480042
A_static_11_sigma50_stride1,A,11,0.05,0,50,0.39453125,0.0241104642349676
A_static_11_sigma50_stride1,A,11,0.05,0,51,0.40234375,0.0505457078405882
A_static_11_sigma50_stride1,A,11,0.05,0,52,0.41015625,0.0357505688420437
A_static_11_sigma50_stride1,A,11,0.05,0,53,0.41796875,0.0420419671222845
A_static_11_sigma50_stride1,A,11,0.05,0,54,0.42578125,0.0353708319743542
A_static_11_sigma50_stride1,A,11,0.05,0,55,0.43359375,0.0295989029583596
A_static_11_sigma50_stride1,A,11,0.05,0,56,0.44140625,0.0326219359468372
A_static_11_sigma50_stride1,A,11,0.05,0,57,0.44921875,0.0305442634635315
A_static_11_sigma50_stride1,A,11,0.05,0,58,0.45703125,0.0659298413329711
A_static_11_sigma50_stride1,A,11,0.05,0,59,0.46484375,0.0301279724805123
A_static_11_sigma50_stride1,A,11,0.05,0,60,0.47265625,0.027828236169193
A_static_11_sigma50_stride1,A,11,0.05,0,61,0.48046875,0.0321056914107694
A_static_11_sigma50_stride1,A,11,0.05,0,62,0.48828125,0.0239458650918654
A_static_11_sigma50_stride1,A,11,0.05,0,63,0.49609375,0.0396744358938672
A_static_11_sigma50_stride1,A,11,0.05,0,64,0.50390625,0.0345526369543045
A_static_11_sigma50_stride1,A,11,0.05,0,65,0.51171875,0.0495981723297871
A_static_11_sigma50_stride1,A,11,0.05,0,66,0.51953125,0.0628669402777346
A_static_11_sigma50_stride1,A,11,0.05,0,67,0.52734375,0.0247293552651624
A_static_11_sigma50_stride1,A,11,0.05,0,68,0.53515625,0.0416109416418158
A_static_11_sigma50_stride1,A,11,0.05,0,69,0.54296875,0.0362076266591867
A_static_11_sigma50_stride1,A,11,0.05,0,70,0.55078125,0.0284973024190572
A_static_11_sigma50_stride1,A,11,0.05,0,71,0.55859375,0.0394714204110643
A_static_11_sigma50_stride1,A,11,0.05,0,72,0.56640625,0.0294328860955095
A_static_11_sigma50_stride1,A,11,0.05,0,73,0.57421875,0.034444592638755
A_static_11_sigma50_stride1,A,11,0.05,0,74,0.58203125,0.0291855885841419
A_static_11_sigma50_stride1,A,11,0.05,0,75,0.58984375,0.0387237605575385
A_static_11_sigma50_stride1,A,11,0.05,0,76,0.59765625,0.044978055323235
A_static_11_sigma50_stride1,A,11,0.05,0,77,0.60546875,0.0487573931446896
A_static_11_sigma50_stride1,A,11,0.05,0,78,0.61328125,0.0342583779201713
A_static_11_sigma50_stride1,A,11,0.05,0,79,0.62109375,0.0339021634336738
A_static_11_sigma50_stride1,A,11,0.05,0,80,0.62890625,0.0642126017937883
A_static_11_sigma50_stride1,A,11,0.05,0,81,0.63671875,0.0523122559848625
A_static_11_sigma50_stride1,A,11,0.05,0,82,0.64453125,0.0336257725815645
A_static_11_sigma50_stride1,A,11,0.05,0,83,0.65234375,0.0322924864552882
A_static_11_sigma50_stride1,A,11,0.05,0,84,0.66015625,0.0306063965538905
A_static_11_sigma50_stride1,A,11,0.05,0,85,0.66796875,0.0333644694120034
A_static_11_sigma50_stride1,A,11,0.05,0,86,0.67578125,0.0461595040668694
A_static_11_sigma50_stride1,A,11,0.05,0,87,0.68359375,0.0481047942440611
A_static_11_sigma50_stride1,A,11,0.05,0,88,0.69140625,0.0411034725213711
A_static_11_sigma50_stride1,A,11,0.05,0,89,0.69921875,0.051860226955918
A_static_11_sigma50_stride1,A,11,0.05,0,90,0.70703125,0.0714755523180386
A_static_11_sigma50_stride1,A,11,0.05,0,91,0.71484375,0.0521602194541068
A_static_11_sigma50_stride1,A,11,0.05,0,92,0.72265625,0.0634357822277775
A_static_11_sigma50_stride1,A,11,0.05,0,93,0.73046875,0.0533129215298042
A_static_11_sigma50_stride1,A,11,0.05,0,94,0.73828125,0.0498049395313255
A_static_11_sigma50_stride1,A,11,0.05,0,95,0.74609375,0.027031591236167
A_static_11_sigma50_stride1,A,11,0.05,0,96,0.75390625,0.0278642840348138
A_static_11_sigma50_stride1,A,11,0.05,0,97,0.76171875,0.0400594893467359
A_static_11_sigma50_stride1,A,11,0.05,0,98,0.76953125,0.0352628459821208
A_static_11_sigma50_stride1,A,11,0.05,0,99,0.77734375,0.0229560099615388
A_static_11_sigma50_stride1,A,11,0.05,0,100,0.78515625,0.0423920395966653
A_static_11_sigma50_stride1,A,11,0.05,0,101,0.79296875,0.0548668175608667
A_static_11_sigma50_stride1,A,11,0.05,0,102,0.80078125,0.0267636012241166
A_static_11_sigma50_stride1,A,11,0.05,0,103,0.80859375,0.0331417583992298
A_static_11_sigma50_stride1,A,11,0.05,0,104,0.81640625,0.0314949158425906
A_static_11_sigma50_stride1,A,11,0.05,0,105,0.82421875,0.029721931396934
A_static_11_sigma50_stride1,A,11,0.05,0,106,0.83203125,0.0284894381005294
A_static_11_sigma50_stride1,A,11,0.05,0,107,0.83984375,0.0347405353255966
A_static_11_sigma50_stride1,A,11,0.05,0,108,0.84765625,0.0376945774185327
A_static_11_sigma50_stride1,A,11,0.05,0,109,0.85546875,0.0486682508497642
A_static_11_sigma50_stride1,A,11,0.05,0,110,0.86328125,0.0484123260475652
A_static_11_sigma50_stride1,A,11,0.05,0,111,0.87109375,0.0238039011680013
A_static_11_sigma50_stride1,A,11,0.05,0,112,0.87890625,0.0408997949220916
A_static_11_sigma50_stride1,A,11,0.05,0,113,0.88671875,0.0355028291523659
A_static_11_sigma50_stride1,A,11,0.05,0,114,0.89453125,0.0411504860925082
A_static_11_sigma50_stride1,A,11,0.05,0,115,0.90234375,0.0245431218428079
A_static_11_sigma50_stride1,A,11,0.05,0,116,0.91015625,0.0392010046667612
A_static_11_sigma50_stride1,A,11,0.05,0,117,0.91796875,0.0395693217497609
A_static_11_sigma50_stride1,A,11,0.05,0,118,0.92578125,0.0465652872953857
A_static_11_sigma50_stride1,A,11,0.05,0,119,0.93359375,0.0257668388650032
A_static_11_sigma50_stride1,A,11,0.05,0,120,0.94140625,0.0431655853785997
A_static_11_sigma50_stride1,A,11,0.05,0,121,0.94921875,0.047586433890381
A_static_11_sigma50_stride1,A,11,0.05,0,122,0.95703125,0.0306136639347187
A_static_11_sigma50_stride1,A,11,0.05,0,123,0.96484375,0.0415877539010928
A_static_11_sigma50_stride1,A,11,0.05,0,124,0.97265625,0.0246357024463881
A_static_11_sigma50_stride1,A,11,0.05,0,125,0.98046875,0.0389143323976167
A_static_11_sigma50_stride1,A,11,0.05,0,126,0.98828125,0.0345904941586464
A_static_11_sigma50_stride1,A,11,0.05,0,127,0.99609375,0.0297923629481934
A_static_11_sigma50_stride1,A,11,0.05,1,0,0.00390625,0.0332184758901175
A_static_11_sigma50_stride1,A,11,0.05,1,1,0.01171875,0.0389173670228766
