metric,metric_role,family,class,seed,sigma,stride,degree,source,role,trajectory_id,n_frames,n_intervals,floor_e,floor_source,floor_n_distances,L,R,eta,eta_defined,efficiency_valid,L_per_interval,L_over_floor_ratio,speed_mean,speed_std,speed_max,speed_change_mean,speed_change_mean_abs,speed_change_max_abs,angle_defined_count,angle_defined_fraction,angle_floor_valid_count,angle_floor_valid_fraction,mean_cosine_angle,mean_angle_rad,straight_count,reversal_count,near_straight_count,near_reversal_count,q_defined_count,q_valid_count,q_valid_fraction,q_mean,q_std,cosine_anomaly_count,unresolved_zero_step_count,card_min,card_mean,card_max,card_change_count,empty_diagram_count,essential_count_min,essential_count_max,essential_count_total,_valid_mismatch,_anomaly_mismatch
exact_scipy,corrected_candidate,A,jump,1000,0.05,4,0,fresh_train_like,scientific,A_jump_1000_sigma50,33,32,0.05785205792112252,static_sigma50_train_like_pool,64,2.418042893447125,0.3741808798257835,0.15474534419542782,True,False,0.07800138365958467,1.3482905615204637,2.418042893447125,2.5149112614472373,12.528458385524058,1.1675988008297122,48.587208674482184,379.3582978879013,31,1.0,4,0.12903225806451613,0.9754076439186876,0.18200686305594985,0,2,0,2,31,7,0.22580645161290322,0.5926394851584925,0.3357682302387393,0,0,63,63.0,63,0,0,1,1,33,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.05,4,1,fresh_train_like,scientific,A_jump_1000_sigma50,33,32,0.10801281900487454,static_sigma50_train_like_pool,64,2.677477341502554,0.7069434859152788,0.26403341494518656,True,False,0.08637023682266302,0.7996295034088982,2.677477341502554,3.569971348163353,22.238772480930095,-0.8968256655590292,58.995066666372665,655.1079929841551,31,1.0,0,0.0,,,0,1,0,1,31,2,0.06451612903225806,0.056970357891129336,0.02449970882718226,0,0,2,7.515151515151516,17,18,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.0,1,0,fresh_train_like,scientific,A_jump_1001_sigma0,129,128,0.0,zero_sigma_exact_zero,0,0.5965575592924,0.5965575592924,1.0,True,True,0.00469730361647559,,0.5965575592924,6.722862265189655,76.3593675894272,0.0,153.92124490467214,9773.99905144668,0,0.0,0,0.0,,,0,0,0,0,2,2,0.015748031496062992,0.0,0.0,0,127,63,63.0,63,0,0,1,1,129,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.0,1,1,fresh_train_like,scientific,A_jump_1001_sigma0,129,128,0.0,zero_sigma_exact_zero,0,0.7087636461680588,0.7087636461680588,1.0,True,True,0.005580816111559517,,0.7087636461680588,7.987360645322023,90.72174670951152,0.0,182.87218234358227,11612.383578817475,0,0.0,0,0.0,,,0,0,0,0,2,2,0.015748031496062992,0.0,0.0,0,127,2,5.782945736434108,10,1,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.0,2,0,fresh_train_like,scientific,A_jump_1001_sigma0,65,64,0.0,zero_sigma_exact_zero,0,0.5965575592924,0.5965575592924,1.0,True,True,0.009469167607815873,,0.5965575592924,4.735028833870079,38.1796837947136,0.0,77.57142104322763,2443.49976286167,0,0.0,0,0.0,,,0,0,0,0,2,2,0.031746031746031744,0.0,0.0,0,63,63,63.0,63,0,0,1,1,65,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.0,2,1,fresh_train_like,scientific,A_jump_1001_sigma0,65,64,0.0,zero_sigma_exact_zero,0,0.7087636461680588,0.7087636461680588,1.0,True,True,0.011250216605842203,,0.7087636461680588,5.625637038252183,45.36087335475576,0.0,92.16177443505933,2903.0958947043687,0,0.0,0,0.0,,,0,0,0,0,2,2,0.031746031746031744,0.0,0.0,0,63,2,5.815384615384615,10,1,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.0,4,0,fresh_train_like,scientific,A_jump_1001_sigma0,33,32,0.0,zero_sigma_exact_zero,0,0.5965575592924,0.5965575592924,1.0,True,True,0.01924379223523871,,0.5965575592924,3.3214919190050822,19.0898418973568,0.0,39.41128649776888,610.8749407154176,0,0.0,0,0.0,,,0,0,0,0,2,2,0.06451612903225806,0.0,0.0,0,31,63,63.0,63,0,0,1,1,33,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.0,4,1,fresh_train_like,scientific,A_jump_1001_sigma0,33,32,0.0,zero_sigma_exact_zero,0,0.7087636461680588,0.7087636461680588,1.0,True,True,0.02286334342477609,,0.7087636461680588,3.946228970803985,22.68043667737788,0.0,46.82412733394143,725.7739736760922,0,0.0,0,0.0,,,0,0,0,0,2,2,0.06451612903225806,0.0,0.0,0,31,2,5.878787878787879,10,1,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.05,1,0,fresh_train_like,scientific,A_jump_1001_sigma50,129,128,0.055153732833621016,static_sigma50_train_like_pool,256,6.920838749306515,0.5906163583507923,0.08533884110650222,True,False,0.054494793301626106,0.9880526757094992,6.920838749306515,7.1863080357160865,69.954085259967,1.256553513462369,470.6578526582333,8482.68720140765,127,1.0,5,0.03937007874015748,0.9802149630130316,0.14280863606607735,3,8,6,9,127,11,0.08661417322834646,0.5876268722847205,0.27642401466708033,0,0,63,63.0,63,0,0,1,1,129,0,0
exact_scipy,corrected_candidate,A,jump,1001,0.05,1,1,fresh_train_like,scientific,A_jump_1001_sigma50,129,128,0.1045617016282595,static_sigma50_train_like_pool,256,7.879612264466216,0.5659024838345084,0.07181856985355661,True,False,0.062044191058789104,0.5933739609495858,7.879612264466216,6.400226046040395,73.01897743499383,-2.5390101982958493,432.2556593699349,8867.251116821826,127,1.0,0,0.0,,,1,1,1,3,127,2,0.015748031496062992,0.08412026741862595,0.0641151709524274,0,0,2,6.348837209302325,16,71,0,0,0,0,0,0
