family,seed,sigma,warp,L_master,L_resampled,L_resampled_over_master,R_master,R_resampled,eta_master,eta_resampled,n_master_states,n_resampled_states,n_duplicate_frames_dropped,n_preserved_angle_triples,max_preserved_angle_deviation,fresh_step_checks,fresh_step_max_deviation,fresh_step_all_exact,exact_same_states_invariance,exact_resampled_shortcut_checks,kept_z_first,kept_z_last
A,1002,0.05,piecewise_fast_slow,6.724621805653657,5.318649735529179,0.7909217632220712,0.47471274101032673,0.47471274101032673,0.07059322512549582,0.08925437180779028,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1003,0.05,u_pow_1p5,6.114499180912365,5.126957252485233,0.8384917719001512,0.3968030150581492,0.3968030150581492,0.06489542369992449,0.07739542101034752,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1003,0.05,piecewise_fast_slow,6.114499180912365,4.91249685165954,0.8034176972326504,0.3968030150581492,0.3968030150581492,0.06489542369992449,0.08077420241482723,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1004,0.05,u_pow_1p5,5.69280428432797,4.810337260978132,0.8449855327401243,0.5540215905975836,0.5540215905975836,0.09731962718668895,0.11517312831510884,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1004,0.05,piecewise_fast_slow,5.69280428432797,4.681041007286283,0.8222733074054513,0.5540215905975836,0.5540215905975836,0.09731962718668895,0.1183543553101159,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1005,0.05,u_pow_1p5,5.990788527837298,4.9687181065863895,0.829393006195817,0.38245283737064745,0.38245283737064745,0.06384014985565092,0.07697213429429192,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1005,0.05,piecewise_fast_slow,5.990788527837298,4.7818801972839715,0.7982054741315084,0.38245283737064745,0.38245283737064745,0.06384014985565092,0.07997959413284221,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1006,0.05,u_pow_1p5,6.444999768582842,5.451093052470881,0.8457863845151843,0.5648162928282757,0.5648162928282757,0.08763635579656046,0.10361523595203623,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1006,0.05,piecewise_fast_slow,6.444999768582842,5.342347058312088,0.8289134600677867,0.5648162928282757,0.5648162928282757,0.08763635579656046,0.10572437295130152,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1007,0.05,u_pow_1p5,6.249643449515663,5.229101387158095,0.8367039542973195,0.39705648059715204,0.39705648059715204,0.06353266131173023,0.07593206771095784,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1007,0.05,piecewise_fast_slow,6.249643449515663,5.023339403511695,0.8037801586746514,0.39705648059715204,0.39705648059715204,0.06353266131173023,0.07904233592489877,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1008,0.05,u_pow_1p5,5.915704409045599,4.99749103422495,0.8447837634658308,0.40160774807961924,0.40160774807961924,0.0678884069098395,0.08036187465454928,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1008,0.05,piecewise_fast_slow,5.915704409045599,4.52071762256562,0.7641892342783507,0.40160774807961924,0.40160774807961924,0.0678884069098395,0.08883716737248827,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1009,0.05,u_pow_1p5,6.663375401515069,5.545907895629966,0.832297080901217,0.3959497068027099,0.3959497068027099,0.05942179195137075,0.07139493014564995,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1009,0.05,piecewise_fast_slow,6.663375401515069,5.457721735861297,0.8190626232195113,0.3959497068027099,0.3959497068027099,0.05942179195137075,0.07254853324621251,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1000,0.0,u_pow_1p5,1.1419144253791886,1.1407757504037133,0.9990028368587276,0.451204101137028,0.451204101137028,0.39512952206309104,0.39552392394153696,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1000,0.0,piecewise_fast_slow,1.1419144253791886,1.1081690567629674,0.970448426023679,0.451204101137028,0.451204101137028,0.39512952206309104,0.4071617939369504,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1001,0.0,u_pow_1p5,1.0388761697424314,1.0388761697424314,1.0,0.43590715864741786,0.43590715864741786,0.4195949154897762,0.4195949154897762,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1001,0.0,piecewise_fast_slow,1.0388761697424314,0.9945206040791247,0.9573042803799189,0.43590715864741786,0.43590715864741786,0.4195949154897762,0.438308826242012,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1002,0.0,u_pow_1p5,1.1063974323504011,1.1005926237477723,0.9947534146113326,0.4582361328511227,0.4582361328511227,0.4141695555797324,0.4163539923525225,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1002,0.0,piecewise_fast_slow,1.1063974323504011,1.0591483600933984,0.9572946656640119,0.4582361328511227,0.4582361328511227,0.4141695555797324,0.4326458408628554,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1003,0.0,u_pow_1p5,1.030877044515851,1.0049740717409232,0.9748728784749562,0.4524433990000764,0.4524433990000764,0.4388917198292696,0.45020405174862443,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1003,0.0,piecewise_fast_slow,1.030877044515851,0.9823678110296457,0.9529437252053783,0.4524433990000764,0.4524433990000764,0.4388917198292696,0.4605641531819518,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1004,0.0,u_pow_1p5,0.9902681492433872,0.9902681492433874,1.0000000000000002,0.42532941569624044,0.42532941569624044,0.42950933645721384,0.4295093364572138,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1004,0.0,piecewise_fast_slow,0.9902681492433872,0.9450484551289049,0.9543359097745067,0.42532941569624044,0.42532941569624044,0.42950933645721384,0.4500609607771121,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1005,0.0,u_pow_1p5,1.1231688494937866,1.109078532352564,0.9874548540519326,0.4495421084024864,0.4495421084024864,0.4002444588853185,0.4053293750523897,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1005,0.0,piecewise_fast_slow,1.1231688494937866,1.0779297684314555,0.9597219233041226,0.4495421084024864,0.4495421084024864,0.4002444588853185,0.4170421131022622,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1006,0.0,u_pow_1p5,1.1057525123529663,1.1056020930245387,0.9998639665506095,0.482181164364087,0.482181164364087,0.4360660807706764,0.4361254084143499,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1006,0.0,piecewise_fast_slow,1.1057525123529663,1.0537243777659944,0.9529477581956747,0.482181164364087,0.482181164364087,0.4360660807706764,0.4575970477083973,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
