family,seed,sigma,warp,variant,interval_index,u_midpoint,h_master,h_variant,nu_variant,nu_reference,ratio_observed,ratio_predicted_derivative,relative_deviation,shortcut_ratio
A,1000,0.0,u_pow_1p5,clock_warp_same_states,62,0.48828125,0.0078125,0.0081887036666759,4.016135113191907,4.2095283618893315,0.9540582145856773,0.9540556703999101,2.6667057763056874e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,63,0.49609375,0.0078125,0.008253954020873921,3.9631964724032955,4.187141306740035,0.9465160552436442,0.9465136100438548,2.5833752029318618e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,64,0.50390625,0.0078125,0.008318692568073716,1.5064088282603547,1.604013046288646,0.9391499849367639,0.9391476334139988,2.503890423093278e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,65,0.51171875,0.0078125,0.008382931166298901,3.878810808918172,4.162022914336921,0.9319532565658953,0.9319509937717737,2.428018357998099e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,66,0.51953125,0.0078125,0.008446681222619767,3.881162456822631,4.196216581885507,0.924919479508536,0.9249173008257279,2.3555433617877544e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,67,0.52734375,0.0078125,0.008509953716804575,3.8181940069470475,4.159059747955197,0.9180425957632042,0.9180404968787952,2.2862656017766425e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,68,0.53515625,0.0078125,0.00857275922339823,3.8364902749060157,4.209831345878804,0.911316858016588,0.9113148348978783,2.2199997544181074e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,69,0.54296875,0.0078125,0.008635107932356334,3.804596909575801,4.2051974340219385,0.9047368094527265,0.9047348583253024,2.156573725569654e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,70,0.55078125,0.0078125,0.008697009668347522,3.625809455310016,4.0363135857173855,0.898297265143137,0.8982953824709535,2.0958275197913785e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,71,0.55859375,0.0078125,0.008758473908827169,3.755821265997005,4.210593608249983,0.8919932948736908,0.8919914773408968,2.037612286907039e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,72,0.56640625,0.0078125,0.008819509800978398,3.7249092714634546,4.205039849910687,0.8858202072787895,0.8858184517732264,1.9817893380126825e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,73,0.57421875,0.0078125,0.008880126177603864,3.031954008584918,3.446289172598515,0.8797735351670484,0.879771838765144,1.9282293768066217e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,74,0.58203125,0.0078125,0.008940331572048488,3.67525641341069,4.205825401368228,0.8738490219339741,0.8738473818869766,1.8768117081147762e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,75,0.58984375,0.0078125,0.009000134232222956,2.946401503728373,3.3943051565541023,0.8680426089678864,0.8680410226892367,1.827423599006205e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,76,0.59765625,0.0078125,0.009059542133794729,3.623997028335322,4.202464482681695,0.8623504239642642,0.8623488890180727,1.7799596091919891e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,77,0.60546875,0.0078125,0.00911856299260455,3.6057662122122194,4.208564011860766,0.8567687700722351,0.8567672841626655,1.7343210893746908e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,78,0.61328125,0.0078125,0.009177204276365314,3.5852521037509955,4.211531640114096,0.8512941158038804,0.8512926767654636,1.6904155950565092e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,79,0.62109375,0.0078125,0.00923547321569096,3.5615592382236554,4.210263673691042,0.8459230856440204,0.845921691432687,1.6481564990038741e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,80,0.62890625,0.0078125,0.009293376814504317,3.5319136555395727,4.201395773084499,0.8406524513034821,0.8406510999883741,1.6074624871748035e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,81,0.63671875,0.0078125,0.009350921859863748,3.515528741155399,4.207799622995111,0.8354791235645974,0.8354778133204878,1.5682572161265966e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,82,0.64453125,0.0078125,0.009408114931249156,3.496792527055458,4.210972926114678,0.8304001446719891,0.8303988737722913,1.5304689564913969e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,83,0.65234375,0.0078125,0.009464962409343358,3.474206671154087,4.20905414972971,0.8254126812260631,0.8254114480364125,1.4940302240192759e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,84,0.66015625,0.0078125,0.0095214704843406,2.598493505688365,3.1669093399248,0.8205140175405424,0.8205128205128205,1.4588775361194795e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,85,0.66796875,0.0078125,0.00957764516381543,3.436659617703239,4.213133614998426,0.8157015494284348,0.8157003870953307,1.424951026734053e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,86,0.67578125,0.0078125,0.009633492280175626,3.4175282656101356,4.2141097169967665,0.8109727783845353,0.8109716493543526,1.3921943924638536e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,87,0.68359375,0.0078125,0.009689017497732877,3.3984787021699105,4.214773710207588,0.8063253061342948,0.8063242090863514,1.3605543911673178e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,88,0.69140625,0.0078125,0.009744226319405747,3.3796021205541096,4.215245815324522,0.8017568295228642,0.8017557632030174,1.329980894049645e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,89,0.69921875,0.0078125,0.009799124093087253,3.3609456938838265,4.215593462335342,0.7972651357187417,0.7972640989353983,1.3004264769784528e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,90,0.70703125,0.0078125,0.00985371601769014,3.3425340903590923,4.215856858348381,0.7928480977099813,0.7928470893303108,1.271846342266999e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,91,0.71484375,0.0078125,0.009908007148893283,3.324379720949954,4.216061189223424,0.7885036700718014,0.788502689018211,1.2441981544767332e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,92,0.72265625,0.0078125,0.009962002404607095,3.30648798814165,4.216222884949964,0.7842298849864741,0.7842289302333949,1.2174417983635262e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,93,0.73046875,0.0078125,0.0100157065701717,3.288860137050182,4.216353034627751,0.7800248484981395,0.7800239190689394,1.1915393583784374e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,94,0.73828125,0.0078125,0.010069124303307975,3.27149488089548,4.216459342511655,0.7758867369859945,0.7758858319501951,1.166454859911107e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,95,0.74609375,0.0078125,0.01012226013883144,3.2543893657608574,4.216547296419591,0.7718137938412943,0.7718129123119164,1.1421542240048054e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,96,0.75390625,0.0078125,0.010175118493145452,3.2375397627967217,4.216620891229013,0.7678043263341799,0.7678034674652742,1.1186051407249998e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,97,0.76171875,0.0078125,0.010227703668525545,3.2209416421024977,4.216683091076916,0.7638567026577014,0.7638558656420618,1.095776935592378e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,98,0.76953125,0.0078125,0.01028001985720639,3.2045902143433733,4.2167361328203725,0.759969349137333,0.7599685332043695,1.0736404573052121e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,99,0.77734375,0.0078125,0.010332071145281452,3.1884804898763046,4.216781730143211,0.7561407475952086,0.7561399520088916,1.052168073944027e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,100,0.78515625,0.0078125,0.010383861516428894,3.1726073851126193,4.216821213825156,0.7523694328588071,0.7523686569158382,1.0313334583325972e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,101,0.79296875,0.0078125,0.010435394855468738,3.1569657943712657,4.216855630012503,0.7486539904051458,0.7486532334331696,1.0111116100321457e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,102,0.80078125,0.0078125,0.010486674951764141,3.141550638719674,4.216885810273311,0.7449930541315889,0.7449923154875501,9.914787353732698e-07,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,103,0.80859375,0.0078125,0.010537705502473238,3.1263568992049966,4.216912422329301,0.7413853042454429,0.7413845833140436,9.724121806438477e-07,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,104,0.81640625,0.0078125,0.010588490115659877,3.111379639341935,4.216936007326396,0.7378294652648995,0.7378287614571463,9.53890373964955e-07,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,105,0.82421875,0.0078125,0.010639032313270902,3.096614020109713,4.216957007574393,0.734324304124432,0.7343236168762819,9.358927511806583e-07,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,106,0.83203125,0.0078125,0.010689335533986322,3.0820553096747547,4.216975787445449,0.7308686283782995,0.7308679571493671,9.183997270084266e-07,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,107,0.83984375,0.0078125,0.01073940313595001,0.5289837590918308,0.7271641396809514,0.7274612844961336,0.7274606287685051,9.013926011749873e-07,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,108,0.84765625,0.0078125,0.010789238399385392,0.0,0.0,nan,0.7241005155222727,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,109,0.85546875,0.0078125,0.010838844529104108,0.0,0.0,nan,0.7207865369594517,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,110,0.86328125,0.0078125,0.010888224656910528,0.0,0.0,nan,0.7175176469294,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,111,0.87109375,0.0078125,0.010937381843909688,0.0,0.0,nan,0.7142928321945867,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,112,0.87890625,0.0078125,0.010986319082721185,0.0,0.0,nan,0.7111111111111111,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,113,0.88671875,0.0078125,0.011035039299605587,0.0,0.0,nan,0.7079715323733035,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,114,0.89453125,0.0078125,0.011083545356506685,0.0,0.0,nan,0.7048731738187625,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,115,0.90234375,0.0078125,0.01113184005301271,0.0,0.0,nan,0.7018151412904203,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,116,0.91015625,0.0078125,0.01117992612824259,0.0,0.0,nan,0.6987965675524462,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,117,0.91796875,0.0078125,0.01122780626265818,0.0,0.0,nan,0.695816611257005,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,118,0.92578125,0.0078125,0.011275483079808857,0.0,0.0,nan,0.692874455959073,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,119,0.93359375,0.0078125,0.01132295914800785,0.0,0.0,nan,0.6899693091766943,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,120,0.94140625,0.0078125,0.011370236981947945,0.0,0.0,nan,0.6871004014942196,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,121,0.94921875,0.0078125,0.011417319044255025,0.0,0.0,nan,0.6842669857062231,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,122,0.95703125,0.0078125,0.011464207746984978,0.0,0.0,nan,0.681468335999936,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,123,0.96484375,0.0078125,0.011510905453066433,0.0,0.0,nan,0.6787037471741629,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,124,0.97265625,0.0078125,0.011557414477689432,0.0,0.0,nan,0.6759725338927765,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,125,0.98046875,0.0078125,0.011603737089645239,0.0,0.0,nan,0.6732740299709901,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,126,0.98828125,0.0078125,0.011649875512617869,0.0,0.0,nan,0.6706075876927269,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,127,0.99609375,0.0078125,0.011695831926429756,0.0,0.0,nan,0.6679725771574928,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,0,0.015625,0.005524271728019903,0.03125,0.0,0.0,nan,0.1875,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,1,0.04296875,0.007264596293180092,0.0234375,0.0,0.0,nan,0.31093357409581873,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,2,0.06640625,0.00904773332157139,0.0234375,0.0,0.0,nan,0.38654115240165565,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,3,0.0859375,0.0068683565804689845,0.015625,0.0,0.0,nan,0.4397264774834465,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,4,0.1015625,0.007467423282720834,0.015625,0.0,0.0,nan,0.47803307939932355,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,5,0.1171875,0.00802179261819802,0.015625,0.0,0.0,nan,0.5134898976610932,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,6,0.1328125,0.008540201175840777,0.015625,0.0,0.0,nan,0.546651740141747,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,7,0.1484375,0.009028860550163657,0.015625,0.0,0.0,nan,0.5779138127783415,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,8,0.16015625,0.0046896720018700724,0.0078125,0.0,0.0,nan,0.6002928972593295,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,9,0.171875,0.00971583737564262,0.015625,0.0,0.0,nan,0.6218671481916375,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,10,0.1875,0.010148000822634631,0.015625,0.0,0.0,nan,0.649519052838329,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,11,0.19921875,0.005230454603266876,0.0078125,0.0,0.0,nan,0.6695089151758922,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,12,0.2109375,0.010763743816022103,0.015625,0.0,0.0,nan,0.6889189901577688,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,13,0.22265625,0.005529592973980771,0.0078125,0.0,0.0,nan,0.7077969783066328,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,14,0.23046875,0.0056257718273396845,0.0078125,0.0,0.0,nan,0.720107413862682,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,15,0.2421875,0.011533691029079585,0.015625,0.0,0.0,nan,0.7381882381886073,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,16,0.25390625,0.00590491569970053,0.0078125,0.0,0.0,nan,0.755836663902989,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,17,0.26171875,0.005995075775885844,0.0078125,0.0,0.0,nan,0.7673768223630422,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,18,0.2734375,0.012255345180951005,0.015625,0.0,0.0,nan,0.7843687748756958,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,19,0.28515625,0.006257766312494445,0.0078125,0.0,0.0,nan,0.8010003511235184,nan,1.0
A,1000,0.0,u_pow_1p5,resampled_states,20,0.29296875,0.006342912513922855,0.0078125,0.0,0.0,nan,0.8118988160479113,nan,1.0
